date,visitors,temperature,rainfall,weekend,festival
2023-02-21,178,27.2,4.6,0,0
2023-02-22,131,28.5,12.9,0,0
2023-02-23,136,26.0,0.0,0,0
2023-02-24,165,32.7,0.0,0,0
2023-02-25,198,26.7,12.5,1,0
2023-02-26,184,28.3,4.7,1,0
2023-02-27,126,29.5,1.4,0,0
2023-02-28,173,26.2,6.4,0,0
2023-03-01,152,29.1,4.1,0,0
2023-03-02,137,31.5,6.8,0,0
2023-03-03,171,31.2,8.4,0,0
2023-03-04,175,29.4,0.0,1,0
2023-03-05,183,32.4,18.8,1,0
2023-03-06,118,28.4,16.7,0,0
2023-03-07,135,27.4,10.1,0,0
2023-03-08,153,29.2,3.7,0,0
2023-03-09,157,32.1,5.7,0,0
2023-03-10,131,25.3,4.6,0,0
2023-03-11,193,27.0,0.0,1,0
2023-03-12,200,31.3,0.0,1,0
2023-03-13,166,28.6,2.4,0,0
2023-03-14,136,30.6,15.7,0,0
2023-03-15,152,28.2,3.2,0,0
2023-03-16,151,30.0,0.0,0,0
2023-03-17,166,30.1,25.1,0,0
2023-03-18,171,28.0,2.7,1,0
2023-03-19,216,28.6,7.5,1,0
2023-03-20,111,28.3,0.0,0,0
2023-03-21,140,29.5,0.0,0,0
2023-03-22,115,28.1,4.2,0,0
2023-03-23,111,26.9,22.0,0,0
2023-03-24,188,27.7,19.7,0,0
2023-03-25,204,27.6,2.1,1,0
2023-03-26,195,33.4,0.0,1,0
2023-03-27,137,31.5,8.5,0,0
2023-03-28,145,29.7,0.0,0,0
2023-03-29,135,29.4,6.9,0,0
2023-03-30,143,30.9,13.1,0,0
2023-03-31,146,30.7,5.4,0,0
2023-04-01,272,28.6,7.5,1,0
2023-04-02,274,34.2,17.6,1,0
2023-04-03,251,28.5,0.0,0,0
2023-04-04,192,30.5,8.8,0,0
2023-04-05,203,31.8,8.6,0,0
2023-04-06,225,29.0,7.1,0,0
2023-04-07,222,29.4,4.2,0,0
2023-04-08,222,30.3,16.8,1,0
2023-04-09,280,29.5,6.4,1,0
2023-04-10,235,29.2,0.0,0,0
2023-04-11,245,33.4,0.0,0,0
2023-04-12,207,29.2,4.5,0,0
2023-04-13,229,29.2,15.4,0,0
2023-04-14,347,33.3,14.4,0,1
2023-04-15,288,33.3,8.5,1,0
2023-04-16,263,29.2,5.5,1,0
2023-04-17,244,31.7,0.0,0,0
2023-04-18,233,29.3,14.4,0,0
2023-04-19,194,33.3,10.8,0,0
2023-04-20,220,29.5,0.0,0,0
2023-04-21,210,32.6,10.1,0,0
2023-04-22,254,27.5,5.3,1,0
2023-04-23,295,28.2,7.5,1,0
2023-04-24,235,30.7,0.0,0,0
2023-04-25,253,29.5,8.3,0,0
2023-04-26,240,25.2,0.3,0,0
2023-04-27,224,26.1,16.8,0,0
2023-04-28,244,30.9,0.4,0,0
2023-04-29,279,31.3,6.9,1,0
2023-04-30,277,29.6,0.0,1,0
2023-05-01,242,28.7,8.1,0,0
2023-05-02,253,26.9,4.0,0,0
2023-05-03,233,27.4,0.0,0,0
2023-05-04,250,30.5,5.1,0,0
2023-05-05,231,30.5,11.7,0,0
2023-05-06,241,33.3,3.4,1,0
2023-05-07,281,31.8,1.3,1,0
2023-05-08,207,31.2,0.0,0,0
2023-05-09,237,25.2,0.0,0,0
2023-05-10,199,29.4,7.2,0,0
2023-05-11,217,23.7,5.4,0,0
2023-05-12,225,29.1,10.6,0,0
2023-05-13,284,29.6,6.8,1,0
2023-05-14,281,26.6,3.6,1,0
2023-05-15,238,29.6,1.9,0,0
2023-05-16,242,27.3,4.1,0,0
2023-05-17,203,23.8,0.0,0,0
2023-05-18,243,23.0,0.0,0,0
2023-05-19,244,27.0,6.6,0,0
2023-05-20,301,30.1,4.4,1,0
2023-05-21,269,27.5,0.0,1,0
2023-05-22,223,24.3,0.0,0,0
2023-05-23,191,28.7,18.8,0,0
2023-05-24,238,27.8,0.0,0,0
2023-05-25,246,26.7,0.0,0,0
2023-05-26,210,25.6,0.7,0,0
2023-05-27,270,25.4,8.4,1,0
2023-05-28,298,27.2,7.9,1,0
2023-05-29,249,25.8,0.0,0,0
2023-05-30,227,25.7,13.9,0,0
2023-05-31,259,26.0,7.8,0,0
2023-06-01,134,30.3,25.6,0,0
2023-06-02,143,28.2,18.2,0,0
2023-06-03,165,25.8,27.5,1,0
2023-06-04,174,22.6,8.4,1,0
2023-06-05,168,24.7,22.7,0,0
2023-06-06,144,27.7,17.3,0,0
2023-06-07,137,24.6,22.7,0,0
2023-06-08,153,26.5,22.3,0,0
2023-06-09,179,22.9,25.1,0,0
2023-06-10,176,25.5,36.5,1,0
2023-06-11,179,26.1,24.5,1,0
2023-06-12,114,23.2,28.4,0,0
2023-06-13,133,26.0,33.7,0,0
2023-06-14,124,23.9,28.6,0,0
2023-06-15,136,26.2,10.3,0,0
2023-06-16,165,20.3,13.0,0,0
2023-06-17,159,25.9,19.2,1,0
2023-06-18,229,18.0,20.7,1,0
2023-06-19,144,24.7,20.5,0,0
2023-06-20,135,20.6,22.6,0,0
2023-06-21,134,23.4,31.3,0,0
2023-06-22,152,24.8,19.5,0,0
2023-06-23,121,26.6,17.2,0,0
2023-06-24,208,25.8,23.5,1,0
2023-06-25,176,22.1,36.6,1,0
2023-06-26,117,23.4,37.5,0,0
2023-06-27,143,20.9,21.4,0,0
2023-06-28,119,19.5,30.1,0,0
2023-06-29,131,24.8,5.8,0,0
2023-06-30,141,19.0,18.4,0,0
2023-07-01,181,21.8,23.0,1,0
2023-07-02,200,22.5,16.9,1,0
2023-07-03,140,23.3,28.1,0,0
2023-07-04,119,22.4,41.3,0,0
2023-07-05,118,21.0,19.0,0,0
2023-07-06,136,19.0,17.9,0,0
2023-07-07,118,22.0,25.4,0,0
2023-07-08,175,23.0,30.9,1,0
2023-07-09,182,19.8,29.4,1,0
2023-07-10,137,18.1,24.5,0,0
2023-07-11,105,19.0,26.5,0,0
2023-07-12,120,23.4,35.0,0,0
2023-07-13,125,21.3,5.7,0,0
2023-07-14,151,19.8,16.4,0,0
2023-07-15,174,24.3,15.6,1,0
2023-07-16,151,20.6,37.9,1,0
2023-07-17,92,20.5,39.6,0,0
2023-07-18,125,17.3,21.6,0,0
2023-07-19,99,21.4,26.9,0,0
2023-07-20,158,20.7,20.4,0,0
2023-07-21,145,18.2,19.9,0,0
2023-07-22,149,20.9,28.6,1,0
2023-07-23,192,20.3,16.7,1,0
2023-07-24,115,16.3,28.6,0,0
2023-07-25,132,16.4,30.7,0,0
2023-07-26,116,17.6,36.6,0,0
2023-07-27,119,18.8,27.2,0,0
2023-07-28,128,19.5,20.7,0,0
2023-07-29,144,21.2,16.7,1,0
2023-07-30,160,21.6,45.4,1,0
2023-07-31,129,14.4,22.5,0,0
2023-08-01,149,17.7,16.1,0,0
2023-08-02,153,19.0,13.0,0,0
2023-08-03,125,22.0,26.4,0,0
2023-08-04,97,17.5,29.9,0,0
2023-08-05,217,18.0,21.9,1,0
2023-08-06,153,17.2,38.3,1,0
2023-08-07,115,18.6,27.6,0,0
2023-08-08,119,17.7,34.7,0,0
2023-08-09,116,13.8,24.9,0,0
2023-08-10,102,16.4,24.3,0,0
2023-08-11,120,13.7,28.9,0,0
2023-08-12,182,11.7,31.3,1,0
2023-08-13,204,15.3,14.5,1,0
2023-08-14,126,17.4,44.1,0,0
2023-08-15,268,17.3,23.7,0,1
2023-08-16,116,17.7,35.0,0,0
2023-08-17,149,15.5,21.2,0,0
2023-08-18,127,19.3,21.3,0,0
2023-08-19,201,16.8,23.0,1,0
2023-08-20,173,11.6,18.4,1,0
2023-08-21,121,11.3,17.3,0,0
2023-08-22,121,15.5,33.9,0,0
2023-08-23,151,13.7,24.5,0,0
2023-08-24,147,13.8,17.7,0,0
2023-08-25,128,15.2,30.2,0,0
2023-08-26,188,17.0,16.7,1,0
2023-08-27,161,15.0,15.3,1,0
2023-08-28,116,16.8,22.2,0,0
2023-08-29,85,15.1,34.0,0,0
2023-08-30,163,12.2,17.6,0,0
2023-08-31,107,15.7,31.1,0,0
2023-09-01,131,12.9,28.6,0,0
2023-09-02,188,16.1,23.5,1,0
2023-09-03,192,15.3,31.2,1,0
2023-09-04,163,11.7,7.0,0,0
2023-09-05,104,17.2,16.8,0,0
2023-09-06,159,15.0,32.4,0,0
2023-09-07,118,15.7,22.0,0,0
2023-09-08,115,14.7,22.6,0,0
2023-09-09,192,18.7,39.3,1,0
2023-09-10,189,12.7,31.8,1,0
2023-09-11,136,15.4,35.0,0,0
2023-09-12,135,15.9,30.1,0,0
2023-09-13,121,10.8,25.7,0,0
2023-09-14,154,11.8,38.5,0,0
2023-09-15,155,17.0,27.0,0,0
2023-09-16,161,14.3,26.6,1,0
2023-09-17,158,15.1,25.5,1,0
2023-09-18,165,14.1,24.4,0,0
2023-09-19,136,16.0,25.1,0,0
2023-09-20,114,14.3,23.4,0,0
2023-09-21,114,13.8,19.0,0,0
2023-09-22,98,15.1,28.1,0,0
2023-09-23,195,13.8,33.0,1,0
2023-09-24,167,16.1,25.3,1,0
2023-09-25,137,11.9,27.8,0,0
2023-09-26,123,16.6,33.8,0,0
2023-09-27,138,11.5,22.4,0,0
2023-09-28,140,13.6,20.4,0,0
2023-09-29,141,13.0,20.0,0,0
2023-09-30,186,13.2,27.0,1,0
2023-10-01,465,11.7,1.2,1,1
2023-10-02,356,11.7,0.0,0,1
2023-10-03,264,14.1,5.2,0,0
2023-10-04,277,16.4,0.0,0,0
2023-10-05,263,17.1,0.0,0,0
2023-10-06,264,12.5,0.0,0,0
2023-10-07,300,16.9,19.7,1,0
2023-10-08,347,17.9,5.3,1,0
2023-10-09,272,13.9,6.0,0,0
2023-10-10,249,20.4,11.8,0,0
2023-10-11,259,16.0,2.1,0,0
2023-10-12,271,15.9,5.2,0,0
2023-10-13,272,14.2,7.7,0,0
2023-10-14,295,10.3,10.3,1,0
2023-10-15,318,11.3,4.5,1,0
2023-10-16,237,12.9,11.6,0,0
2023-10-17,268,13.5,0.3,0,0
2023-10-18,283,14.9,0.0,0,0
2023-10-19,234,14.5,0.0,0,0
2023-10-20,265,14.4,3.2,0,0
2023-10-21,332,14.4,6.8,1,0
2023-10-22,300,12.3,0.0,1,0
2023-10-23,251,15.1,15.0,0,0
2023-10-24,255,9.6,0.0,0,0
2023-10-25,269,13.5,1.7,0,0
2023-10-26,248,14.1,13.4,0,0
2023-10-27,236,13.0,8.8,0,0
2023-10-28,313,15.6,5.8,1,0
2023-10-29,357,18.0,0.0,1,0
2023-10-30,271,14.5,0.0,0,0
2023-10-31,277,12.8,0.0,0,0
2023-11-01,407,16.2,0.0,0,1
2023-11-02,267,17.4,16.5,0,0
2023-11-03,264,17.9,0.0,0,0
2023-11-04,305,13.5,6.0,1,0
2023-11-05,302,15.0,20.1,1,0
2023-11-06,269,16.3,3.1,0,0
2023-11-07,284,15.5,8.6,0,0
2023-11-08,275,18.9,7.5,0,0
2023-11-09,283,13.4,4.3,0,0
2023-11-10,281,17.5,6.7,0,0
2023-11-11,314,16.8,14.6,1,0
2023-11-12,261,15.2,7.7,1,0
2023-11-13,238,16.8,0.0,0,0
2023-11-14,242,17.0,8.8,0,0
2023-11-15,250,14.8,16.0,0,0
2023-11-16,273,20.8,5.0,0,0
2023-11-17,247,19.6,6.0,0,0
2023-11-18,292,16.3,4.7,1,0
2023-11-19,336,16.1,0.0,1,0
2023-11-20,266,16.8,2.7,0,0
2023-11-21,245,17.3,9.9,0,0
2023-11-22,252,14.8,13.8,0,0
2023-11-23,272,14.2,8.6,0,0
2023-11-24,278,14.1,6.8,0,0
2023-11-25,287,18.0,10.1,1,0
2023-11-26,309,18.0,2.6,1,0
2023-11-27,290,19.2,16.8,0,0
2023-11-28,273,20.2,4.1,0,0
2023-11-29,268,19.2,6.0,0,0
2023-11-30,253,19.5,4.5,0,0
2023-12-01,262,17.1,10.1,0,0
2023-12-02,305,18.7,10.4,1,0
2023-12-03,292,19.7,8.0,1,0
2023-12-04,239,21.2,1.0,0,0
2023-12-05,270,16.3,0.0,0,0
2023-12-06,279,18.0,2.3,0,0
2023-12-07,272,19.3,7.5,0,0
2023-12-08,263,20.0,0.0,0,0
2023-12-09,316,14.6,5.3,1,0
2023-12-10,313,21.1,14.5,1,0
2023-12-11,254,18.2,8.9,0,0
2023-12-12,250,19.3,12.9,0,0
2023-12-13,245,21.0,10.4,0,0
2023-12-14,264,21.5,10.6,0,0
2023-12-15,260,18.2,0.0,0,0
2023-12-16,327,20.9,0.0,1,0
2023-12-17,319,17.5,3.4,1,0
2023-12-18,296,25.0,0.0,0,0
2023-12-19,266,20.5,8.3,0,0
2023-12-20,293,21.2,3.8,0,0
2023-12-21,248,19.6,14.1,0,0
2023-12-22,278,20.5,0.0,0,0
2023-12-23,313,23.7,4.4,1,0
2023-12-24,289,18.7,3.2,1,0
2023-12-25,408,19.2,6.8,0,1
2023-12-26,295,26.8,0.3,0,0
2023-12-27,275,21.8,3.8,0,0
2023-12-28,258,21.6,5.9,0,0
2023-12-29,281,18.8,0.0,0,0
2023-12-30,320,21.2,0.2,1,0
2023-12-31,303,23.5,6.4,1,0
2024-01-01,146,24.5,17.6,0,0
2024-01-02,159,24.1,14.9,0,0
2024-01-03,152,23.5,9.8,0,0
2024-01-04,118,20.2,10.6,0,0
2024-01-05,154,21.0,15.4,0,0
2024-01-06,177,25.7,2.8,1,0
2024-01-07,197,22.3,5.8,1,0
2024-01-08,154,25.2,2.1,0,0
2024-01-09,144,21.1,8.6,0,0
2024-01-10,144,21.7,3.1,0,0
2024-01-11,134,22.8,19.2,0,0
2024-01-12,133,23.0,0.0,0,0
2024-01-13,224,23.1,0.0,1,0
2024-01-14,310,23.4,15.3,1,1
2024-01-15,147,24.0,4.3,0,0
2024-01-16,113,27.5,0.0,0,0
2024-01-17,158,23.1,5.1,0,0
2024-01-18,167,25.3,1.9,0,0
2024-01-19,162,26.5,6.5,0,0
2024-01-20,212,25.1,0.5,1,0
2024-01-21,223,24.9,5.0,1,0
2024-01-22,128,19.9,0.0,0,0
2024-01-23,120,24.2,3.0,0,0
2024-01-24,194,23.1,0.0,0,0
2024-01-25,142,28.8,1.7,0,0
2024-01-26,147,23.0,0.0,0,0
2024-01-27,168,23.5,4.3,1,0
2024-01-28,202,24.1,6.2,1,0
2024-01-29,165,26.5,0.0,0,0
2024-01-30,142,24.2,10.1,0,0
2024-01-31,154,23.2,2.5,0,0
2024-02-01,174,27.3,3.9,0,0
2024-02-02,161,28.2,2.9,0,0
2024-02-03,163,30.2,20.7,1,0
2024-02-04,169,24.6,16.9,1,0
2024-02-05,156,23.9,1.1,0,0
2024-02-06,137,26.4,0.0,0,0
2024-02-07,191,25.3,0.0,0,0
2024-02-08,132,27.5,12.1,0,0
2024-02-09,102,26.6,0.0,0,0
2024-02-10,159,24.3,0.0,1,0
2024-02-11,188,24.8,15.6,1,0
2024-02-12,158,29.9,8.3,0,0
2024-02-13,156,25.6,9.2,0,0
2024-02-14,153,26.3,9.5,0,0
2024-02-15,128,26.5,0.0,0,0
2024-02-16,130,27.9,7.6,0,0
2024-02-17,204,27.8,9.6,1,0
2024-02-18,171,31.0,15.2,1,0
2024-02-19,168,31.3,0.8,0,0
2024-02-20,116,28.2,1.7,0,0
2024-02-21,167,27.8,0.0,0,0
2024-02-22,155,31.3,0.0,0,0
2024-02-23,163,26.9,0.0,0,0
2024-02-24,178,28.3,18.9,1,0
2024-02-25,210,30.5,5.8,1,0
2024-02-26,144,27.7,4.6,0,0
2024-02-27,154,27.0,10.3,0,0
2024-02-28,163,29.9,17.3,0,0
2024-02-29,133,28.0,8.0,0,0
2024-03-01,179,28.9,0.2,0,0
2024-03-02,219,29.7,3.3,1,0
2024-03-03,214,24.7,0.0,1,0
2024-03-04,121,29.2,7.0,0,0
2024-03-05,150,29.1,21.0,0,0
2024-03-06,141,29.5,1.5,0,0
2024-03-07,160,25.0,7.1,0,0
2024-03-08,129,26.2,0.0,0,0
2024-03-09,158,27.4,5.4,1,0
2024-03-10,187,30.6,11.0,1,0
2024-03-11,172,24.5,0.0,0,0
2024-03-12,127,24.0,2.2,0,0
2024-03-13,157,31.2,0.0,0,0
2024-03-14,132,30.7,19.7,0,0
2024-03-15,171,30.4,0.0,0,0
2024-03-16,199,28.2,0.5,1,0
2024-03-17,212,26.6,6.8,1,0
2024-03-18,147,30.3,0.0,0,0
2024-03-19,130,31.3,0.0,0,0
2024-03-20,152,31.6,7.2,0,0
2024-03-21,155,33.6,8.7,0,0
2024-03-22,133,35.3,3.3,0,0
2024-03-23,184,30.8,8.5,1,0
2024-03-24,189,27.9,23.5,1,0
2024-03-25,139,28.5,12.3,0,0
2024-03-26,120,29.4,9.5,0,0
2024-03-27,144,30.7,20.3,0,0
2024-03-28,141,29.2,0.9,0,0
2024-03-29,165,29.5,2.0,0,0
2024-03-30,184,26.5,11.9,1,0
2024-03-31,223,30.8,0.0,1,0
2024-04-01,193,32.5,12.7,0,0
2024-04-02,195,31.7,8.2,0,0
2024-04-03,234,29.9,7.9,0,0
2024-04-04,251,30.3,7.3,0,0
2024-04-05,224,32.4,0.0,0,0
2024-04-06,281,29.6,0.0,1,0
2024-04-07,286,32.5,0.0,1,0
2024-04-08,256,28.1,0.0,0,0
2024-04-09,190,28.8,8.7,0,0
2024-04-10,219,33.6,9.8,0,0
2024-04-11,251,31.0,0.0,0,0
2024-04-12,218,29.2,3.4,0,0
2024-04-13,277,28.7,10.6,1,0
2024-04-14,405,31.1,4.9,1,1
2024-04-15,185,28.9,22.8,0,0
2024-04-16,203,32.3,15.9,0,0
2024-04-17,238,34.2,13.0,0,0
2024-04-18,223,29.7,3.3,0,0
2024-04-19,221,30.4,16.2,0,0
2024-04-20,288,27.8,11.6,1,0
2024-04-21,267,30.9,11.0,1,0
2024-04-22,200,27.6,0.0,0,0
2024-04-23,219,29.9,4.3,0,0
2024-04-24,250,23.5,0.0,0,0
2024-04-25,199,28.0,7.9,0,0
2024-04-26,232,32.2,3.8,0,0
2024-04-27,262,33.9,17.1,1,0
2024-04-28,287,28.0,2.4,1,0
2024-04-29,255,28.9,1.8,0,0
2024-04-30,215,28.8,23.4,0,0
2024-05-01,241,32.5,7.9,0,0
2024-05-02,238,27.5,0.0,0,0
2024-05-03,203,30.8,5.3,0,0
2024-05-04,248,26.0,0.0,1,0
2024-05-05,269,28.9,14.0,1,0
2024-05-06,224,24.1,3.5,0,0
2024-05-07,222,32.7,0.0,0,0
2024-05-08,234,31.9,8.6,0,0
2024-05-09,238,28.6,7.6,0,0
2024-05-10,196,26.7,12.0,0,0
2024-05-11,264,28.9,6.4,1,0
2024-05-12,260,28.1,0.0,1,0
2024-05-13,235,27.3,0.0,0,0
2024-05-14,201,25.6,10.7,0,0
2024-05-15,253,26.7,0.0,0,0
2024-05-16,236,28.4,3.3,0,0
2024-05-17,262,23.4,4.7,0,0
2024-05-18,286,27.8,5.5,1,0
2024-05-19,249,29.2,0.0,1,0
2024-05-20,253,27.8,0.0,0,0
2024-05-21,207,26.6,0.0,0,0
2024-05-22,224,21.6,3.1,0,0
2024-05-23,242,26.2,13.6,0,0
2024-05-24,241,26.6,0.0,0,0
2024-05-25,292,27.9,7.5,1,0
2024-05-26,247,24.4,21.1,1,0
2024-05-27,213,28.1,0.0,0,0
2024-05-28,243,29.5,2.9,0,0
2024-05-29,251,26.8,4.2,0,0
2024-05-30,215,25.8,0.0,0,0
2024-05-31,196,27.2,8.2,0,0
2024-06-01,179,24.6,20.3,1,0
2024-06-02,172,23.1,20.0,1,0
2024-06-03,125,27.3,31.5,0,0
2024-06-04,117,24.9,26.1,0,0
2024-06-05,126,23.2,17.5,0,0
2024-06-06,144,23.1,26.3,0,0
2024-06-07,128,22.1,25.2,0,0
2024-06-08,156,25.8,24.9,1,0
2024-06-09,200,22.5,25.2,1,0
2024-06-10,151,20.5,27.8,0,0
2024-06-11,116,24.5,29.4,0,0
2024-06-12,99,24.4,12.0,0,0
2024-06-13,129,26.4,17.1,0,0
2024-06-14,137,21.6,13.7,0,0
2024-06-15,188,22.8,28.0,1,0
2024-06-16,209,24.8,26.9,1,0
2024-06-17,153,21.8,24.6,0,0
2024-06-18,134,26.4,13.6,0,0
2024-06-19,133,26.4,29.1,0,0
2024-06-20,139,23.1,21.9,0,0
2024-06-21,134,22.9,24.7,0,0
2024-06-22,231,21.9,29.3,1,0
2024-06-23,166,19.6,27.6,1,0
2024-06-24,145,24.2,25.4,0,0
2024-06-25,151,25.2,26.5,0,0
2024-06-26,130,18.1,37.7,0,0
2024-06-27,124,24.8,15.2,0,0
2024-06-28,137,22.8,24.9,0,0
2024-06-29,209,24.5,10.9,1,0
2024-06-30,157,22.2,23.4,1,0
2024-07-01,157,23.1,5.7,0,0
2024-07-02,130,18.9,25.4,0,0
2024-07-03,120,24.1,23.6,0,0
2024-07-04,135,20.6,35.2,0,0
2024-07-05,105,20.7,23.1,0,0
2024-07-06,205,22.2,10.9,1,0
2024-07-07,149,21.5,44.1,1,0
2024-07-08,143,20.9,39.4,0,0
2024-07-09,131,19.6,26.8,0,0
2024-07-10,134,21.4,19.4,0,0
2024-07-11,139,17.5,26.1,0,0
2024-07-12,159,20.1,12.1,0,0
2024-07-13,181,21.2,19.2,1,0
2024-07-14,178,17.3,16.8,1,0
2024-07-15,147,22.6,19.9,0,0
2024-07-16,128,18.9,27.0,0,0
2024-07-17,107,21.6,20.7,0,0
2024-07-18,113,17.0,20.7,0,0
2024-07-19,177,20.4,21.3,0,0
2024-07-20,161,16.0,26.6,1,0
2024-07-21,139,18.4,26.1,1,0
2024-07-22,113,19.7,40.2,0,0
2024-07-23,123,19.6,33.2,0,0
2024-07-24,156,17.8,6.8,0,0
2024-07-25,140,18.6,16.9,0,0
2024-07-26,146,17.6,20.8,0,0
2024-07-27,151,15.9,33.4,1,0
2024-07-28,192,17.2,40.4,1,0
2024-07-29,128,18.5,17.5,0,0
2024-07-30,130,18.4,25.3,0,0
2024-07-31,107,18.0,23.3,0,0
2024-08-01,102,17.0,32.3,0,0
2024-08-02,139,17.5,18.4,0,0
2024-08-03,183,17.0,36.8,1,0
2024-08-04,164,15.0,30.4,1,0
2024-08-05,121,16.4,27.5,0,0
2024-08-06,125,19.2,18.8,0,0
2024-08-07,155,16.0,20.5,0,0
2024-08-08,163,18.4,38.7,0,0
2024-08-09,110,15.0,25.6,0,0
2024-08-10,166,15.4,20.0,1,0
2024-08-11,161,14.8,23.8,1,0
2024-08-12,188,18.4,17.7,0,0
2024-08-13,108,15.8,25.6,0,0
2024-08-14,131,20.0,34.0,0,0
2024-08-15,231,13.8,26.7,0,1
2024-08-16,129,19.3,31.5,0,0
2024-08-17,200,11.4,17.1,1,0
2024-08-18,147,18.6,33.9,1,0
2024-08-19,96,16.7,33.1,0,0
2024-08-20,125,16.0,27.2,0,0
2024-08-21,128,12.2,22.4,0,0
2024-08-22,127,15.5,20.5,0,0
2024-08-23,124,15.6,28.5,0,0
2024-08-24,147,14.8,25.7,1,0
2024-08-25,183,16.5,25.0,1,0
2024-08-26,107,17.4,9.4,0,0
2024-08-27,135,15.9,24.9,0,0
2024-08-28,145,14.4,30.3,0,0
2024-08-29,96,16.2,22.9,0,0
2024-08-30,137,16.7,34.8,0,0
2024-08-31,194,13.3,30.4,1,0
2024-09-01,183,18.1,18.0,1,0
2024-09-02,112,16.5,25.5,0,0
2024-09-03,130,15.7,29.6,0,0
2024-09-04,160,15.3,22.9,0,0
2024-09-05,135,13.0,20.3,0,0
2024-09-06,117,16.5,13.0,0,0
2024-09-07,162,10.6,25.3,1,0
2024-09-08,167,13.8,30.3,1,0
2024-09-09,146,15.0,22.6,0,0
2024-09-10,133,15.5,19.5,0,0
2024-09-11,105,16.5,28.1,0,0
2024-09-12,164,15.7,16.3,0,0
2024-09-13,133,16.4,27.3,0,0
2024-09-14,172,13.9,30.4,1,0
2024-09-15,167,14.8,32.0,1,0
2024-09-16,120,13.0,15.4,0,0
2024-09-17,161,10.6,30.8,0,0
2024-09-18,154,17.0,12.0,0,0
2024-09-19,136,17.0,21.3,0,0
2024-09-20,111,10.1,27.1,0,0
2024-09-21,201,14.5,12.5,1,0
2024-09-22,166,16.1,18.7,1,0
2024-09-23,123,9.8,22.9,0,0
2024-09-24,121,11.0,28.6,0,0
2024-09-25,154,11.9,20.6,0,0
2024-09-26,144,15.2,24.0,0,0
2024-09-27,134,11.7,25.3,0,0
2024-09-28,166,13.1,28.5,1,0
2024-09-29,126,15.0,29.4,1,0
2024-09-30,138,16.4,0.6,0,0
2024-10-01,361,16.1,2.5,0,1
2024-10-02,346,11.8,13.2,0,1
2024-10-03,245,16.3,4.6,0,0
2024-10-04,285,12.8,0.0,0,0
2024-10-05,312,15.5,0.0,1,0
2024-10-06,284,12.3,15.3,1,0
2024-10-07,245,17.3,4.7,0,0
2024-10-08,247,12.7,0.0,0,0
2024-10-09,230,14.3,0.0,0,0
2024-10-10,256,13.3,0.0,0,0
2024-10-11,306,12.3,0.0,0,0
2024-10-12,283,14.3,7.0,1,0
2024-10-13,296,12.9,6.7,1,0
2024-10-14,264,16.0,0.0,0,0
2024-10-15,254,13.1,6.3,0,0
2024-10-16,254,13.7,3.1,0,0
2024-10-17,263,15.3,6.9,0,0
2024-10-18,257,13.5,11.4,0,0
2024-10-19,346,13.8,5.8,1,0
2024-10-20,278,11.8,11.2,1,0
2024-10-21,266,14.9,17.6,0,0
2024-10-22,270,14.9,0.5,0,0
2024-10-23,264,14.1,0.0,0,0
2024-10-24,255,15.0,0.0,0,0
2024-10-25,274,12.0,8.1,0,0
