date,visitors,temperature,rainfall,humidity,is_weekend,is_holiday,festival_score
2023-03-26,195,21,2,58,1,0,0.0
2023-03-27,137,22,35,77,0,0,0.0
2023-03-28,145,28,10,80,0,0,0.0
2023-03-29,135,33,49,93,0,0,0.0
2023-03-30,143,19,19,54,0,0,0.0
2023-03-31,146,30,38,82,0,0,0.0
2023-04-01,272,25,21,94,1,0,0.0
2023-04-02,274,25,31,92,1,0,0.0
2023-04-03,251,35,20,59,0,0,0.0
2023-04-04,192,31,14,87,0,0,0.0
2023-04-05,203,24,24,57,0,0,0.0
2023-04-06,225,31,47,58,0,0,0.0
2023-04-07,222,19,19,51,0,0,0.0
2023-04-08,222,22,46,65,1,0,0.0
2023-04-09,280,20,31,64,1,0,0.0
2023-04-10,235,34,18,66,0,0,0.0
2023-04-11,245,31,30,65,0,0,0.0
2023-04-12,207,31,38,85,0,0,0.0
2023-04-13,229,22,34,66,0,0,0.0
2023-04-14,347,30,40,65,0,0,10.0
2023-04-15,288,24,28,80,1,0,10.0
2023-04-16,263,21,21,56,1,0,0.0
2023-04-17,244,29,0,86,0,0,0.0
2023-04-18,233,20,17,76,0,0,0.0
2023-04-19,194,33,43,56,0,0,0.0
2023-04-20,220,22,22,74,0,0,0.0
2023-04-21,210,18,19,79,0,0,0.0
2023-04-22,254,29,23,70,1,0,0.0
2023-04-23,295,19,33,76,1,0,0.0
2023-04-24,235,30,13,75,0,0,0.0
2023-04-25,253,20,46,52,0,0,0.0
2023-04-26,240,26,45,88,0,0,0.0
2023-04-27,224,31,36,59,0,0,0.0
2023-04-28,244,21,42,89,0,0,0.0
2023-04-29,279,32,1,89,1,0,0.0
2023-04-30,277,20,40,92,1,0,0.0
2023-05-01,242,34,33,77,0,0,0.0
2023-05-02,253,23,41,72,0,0,0.0
2023-05-03,233,22,32,71,0,0,0.0
2023-05-04,250,18,23,81,0,0,0.0
2023-05-05,231,31,17,80,0,0,0.0
2023-05-06,241,21,26,62,1,0,0.0
2023-05-07,281,33,20,70,1,0,0.0
2023-05-08,207,28,24,79,0,0,0.0
2023-05-09,237,30,22,81,0,0,0.0
2023-05-10,199,28,9,95,0,0,0.0
2023-05-11,217,27,47,59,0,0,0.0
2023-05-12,225,27,22,77,0,0,0.0
2023-05-13,284,22,4,80,1,0,0.0
2023-05-14,281,26,14,60,1,0,0.0
2023-05-15,238,19,5,52,0,0,0.0
2023-05-16,242,25,16,59,0,0,0.0
2023-05-17,203,30,32,57,0,0,0.0
2023-05-18,243,24,38,63,0,0,0.0
2023-05-19,244,32,6,83,0,0,0.0
2023-05-20,301,27,43,78,1,0,0.0
2023-05-21,269,35,7,62,1,0,0.0
2023-05-22,223,24,31,71,0,0,0.0
2023-05-23,191,19,29,76,0,0,0.0
2023-05-24,238,29,23,67,0,0,0.0
2023-05-25,246,21,20,71,0,0,0.0
2023-05-26,210,18,15,74,0,0,0.0
2023-05-27,270,32,41,87,1,0,0.0
2023-05-28,298,33,6,81,1,0,0.0
2023-05-29,249,30,28,67,0,0,0.0
2023-05-30,227,30,18,88,0,0,0.0
2023-05-31,259,20,16,75,0,0,0.0
2023-06-01,134,27,22,71,0,0,0.0
2023-06-02,143,32,43,58,0,0,0.0
2023-06-03,165,30,30,78,1,0,0.0
2023-06-04,174,33,46,56,1,0,0.0
2023-06-05,168,27,17,54,0,0,0.0
2023-06-06,144,25,34,90,0,0,0.0
2023-06-07,137,25,2,81,0,0,0.0
2023-06-08,153,30,20,54,0,0,0.0
2023-06-09,179,20,12,67,0,0,0.0
2023-06-10,176,25,31,51,1,0,0.0
2023-06-11,179,30,28,76,1,0,0.0
2023-06-12,114,28,14,65,0,0,0.0
2023-06-13,133,30,7,70,0,0,0.0
2023-06-14,124,20,50,79,0,0,0.0
2023-06-15,136,35,26,60,0,0,0.0
2023-06-16,165,30,39,87,0,0,0.0
2023-06-17,159,23,27,71,1,0,0.0
2023-06-18,229,28,34,87,1,0,0.0
2023-06-19,144,34,15,63,0,0,0.0
2023-06-20,135,18,36,50,0,0,0.0
2023-06-21,134,23,27,76,0,0,0.0
2023-06-22,152,23,48,93,0,0,9.0
2023-06-23,121,19,27,94,0,0,0.0
2023-06-24,208,33,20,67,1,0,0.0
2023-06-25,176,24,3,75,1,0,0.0
2023-06-26,117,18,22,94,0,0,0.0
2023-06-27,143,28,2,69,0,0,0.0
2023-06-28,119,25,38,89,0,0,0.0
2023-06-29,131,31,48,61,0,0,0.0
2023-06-30,141,29,13,53,0,0,0.0
2023-07-01,181,31,18,56,1,0,0.0
2023-07-02,200,19,12,81,1,0,0.0
2023-07-03,140,26,38,55,0,0,0.0
2023-07-04,119,28,46,71,0,0,0.0
2023-07-05,118,23,35,82,0,0,0.0
2023-07-06,136,29,34,52,0,0,0.0
2023-07-07,118,34,26,91,0,0,0.0
2023-07-08,175,28,34,57,1,0,0.0
2023-07-09,182,35,17,71,1,0,0.0
2023-07-10,137,33,25,66,0,0,0.0
2023-07-11,105,25,24,90,0,0,0.0
2023-07-12,120,25,22,72,0,0,0.0
2023-07-13,125,35,2,62,0,0,0.0
2023-07-14,151,35,9,81,0,0,0.0
2023-07-15,174,30,16,67,1,0,0.0
2023-07-16,151,24,20,74,1,0,0.0
2023-07-17,92,22,1,73,0,0,0.0
2023-07-18,125,21,27,73,0,0,0.0
2023-07-19,99,31,33,79,0,0,0.0
2023-07-20,158,25,27,56,0,0,0.0
2023-07-21,145,32,19,62,0,0,0.0
2023-07-22,149,33,48,77,1,0,0.0
2023-07-23,192,22,14,69,1,0,0.0
2023-07-24,115,21,12,78,0,0,0.0
2023-07-25,132,20,8,92,0,0,0.0
2023-07-26,116,27,15,66,0,0,0.0
2023-07-27,119,23,15,54,0,0,0.0
2023-07-28,128,28,34,93,0,0,0.0
2023-07-29,144,24,26,67,1,0,0.0
2023-07-30,160,27,23,74,1,0,0.0
2023-07-31,129,21,38,83,0,0,0.0
2023-08-01,149,20,39,83,0,0,0.0
2023-08-02,153,32,38,91,0,0,0.0
2023-08-03,125,30,8,50,0,0,0.0
2023-08-04,97,33,29,78,0,0,0.0
2023-08-05,217,22,29,86,1,0,0.0
2023-08-06,153,26,25,81,1,0,0.0
2023-08-07,115,26,26,91,0,0,0.0
2023-08-08,119,35,24,64,0,0,0.0
2023-08-09,116,30,19,86,0,0,0.0
2023-08-10,102,22,2,94,0,0,0.0
2023-08-11,120,34,27,58,0,0,0.0
2023-08-12,182,34,13,93,1,0,0.0
2023-08-13,204,23,44,84,1,0,0.0
2023-08-14,126,30,40,73,0,0,0.0
2023-08-15,268,29,36,75,0,1,0.0
2023-08-16,116,24,19,60,0,0,0.0
2023-08-17,149,27,39,83,0,0,0.0
2023-08-18,127,19,13,62,0,0,0.0
2023-08-19,201,26,22,65,1,0,0.0
2023-08-20,173,25,24,58,1,0,0.0
2023-08-21,121,19,37,95,0,0,0.0
2023-08-22,121,29,21,77,0,0,0.0
2023-08-23,151,29,9,71,0,0,0.0
2023-08-24,147,35,6,69,0,0,0.0
2023-08-25,128,31,37,87,0,0,0.0
2023-08-26,188,21,40,88,1,0,0.0
2023-08-27,161,29,11,55,1,0,0.0
2023-08-28,116,32,37,66,0,0,0.0
2023-08-29,85,26,50,93,0,0,0.0
2023-08-30,163,21,29,65,0,0,0.0
2023-08-31,107,28,43,55,0,0,0.0
2023-09-01,131,18,14,55,0,0,0.0
2023-09-02,188,25,24,60,1,0,0.0
2023-09-03,192,18,45,70,1,0,0.0
2023-09-04,163,33,13,66,0,0,0.0
2023-09-05,104,26,33,62,0,0,0.0
2023-09-06,159,32,21,81,0,0,0.0
2023-09-07,118,34,35,73,0,0,0.0
2023-09-08,115,20,46,77,0,0,0.0
2023-09-09,192,35,32,70,1,0,0.0
2023-09-10,189,35,3,60,1,0,0.0
2023-09-11,136,33,14,72,0,0,0.0
2023-09-12,135,34,15,83,0,0,0.0
2023-09-13,121,19,31,56,0,0,0.0
2023-09-14,154,35,48,69,0,0,0.0
2023-09-15,155,30,47,67,0,0,0.0
2023-09-16,161,28,16,56,1,0,0.0
2023-09-17,158,18,14,64,1,0,0.0
2023-09-18,165,23,18,80,0,0,0.0
2023-09-19,136,19,17,59,0,0,0.0
2023-09-20,114,29,12,76,0,0,0.0
2023-09-21,114,30,7,50,0,0,0.0
2023-09-22,98,30,48,51,0,0,0.0
2023-09-23,195,32,40,50,1,0,0.0
2023-09-24,167,29,33,51,1,0,0.0
2023-09-25,137,29,0,73,0,0,0.0
2023-09-26,123,29,24,84,0,0,0.0
2023-09-27,138,18,9,57,0,0,0.0
2023-09-28,140,28,15,77,0,0,0.0
2023-09-29,141,19,4,53,0,0,0.0
2023-09-30,186,26,37,88,1,0,0.0
2023-10-01,465,18,33,87,1,0,0.0
2023-10-02,356,24,29,92,0,1,0.0
2023-10-03,264,22,40,70,0,0,0.0
2023-10-04,277,23,28,61,0,0,0.0
2023-10-05,263,32,3,61,0,0,0.0
2023-10-06,264,24,25,72,0,0,0.0
2023-10-07,300,23,31,95,1,0,0.0
2023-10-08,347,21,1,58,1,0,0.0
2023-10-09,272,27,7,64,0,0,0.0
2023-10-10,249,30,22,95,0,0,0.0
2023-10-11,259,33,44,93,0,0,0.0
2023-10-12,271,25,1,94,0,0,0.0
2023-10-13,272,20,20,91,0,0,0.0
2023-10-14,295,19,10,61,1,0,0.0
2023-10-15,318,35,18,92,1,0,0.0
2023-10-16,237,29,37,60,0,0,0.0
2023-10-17,268,23,44,90,0,0,0.0
2023-10-18,283,28,4,59,0,0,0.0
2023-10-19,234,35,22,51,0,0,0.0
2023-10-20,265,28,34,75,0,0,0.0
2023-10-21,332,25,26,84,1,0,0.0
2023-10-22,300,30,46,82,1,0,0.0
2023-10-23,251,24,3,92,0,0,0.0
2023-10-24,255,32,47,91,0,0,7.0
2023-10-25,269,20,16,55,0,0,0.0
2023-10-26,248,32,42,78,0,0,0.0
2023-10-27,236,30,43,58,0,0,0.0
2023-10-28,313,21,49,92,1,0,0.0
2023-10-29,357,28,46,79,1,0,0.0
2023-10-30,271,35,40,60,0,0,0.0
2023-10-31,277,22,36,53,0,0,0.0
2023-11-01,407,25,13,86,0,0,0.0
2023-11-02,267,28,40,88,0,0,0.0
2023-11-03,264,21,37,60,0,0,0.0
2023-11-04,305,21,35,89,1,0,0.0
2023-11-05,302,20,5,91,1,0,0.0
2023-11-06,269,28,26,74,0,0,0.0
2023-11-07,284,22,44,75,0,0,0.0
2023-11-08,275,34,34,88,0,0,0.0
2023-11-09,283,26,4,61,0,0,0.0
2023-11-10,281,34,23,91,0,0,0.0
2023-11-11,314,24,50,76,1,0,0.0
2023-11-12,261,19,33,84,1,1,0.0
2023-11-13,238,34,5,58,0,0,0.0
2023-11-14,242,24,27,67,0,0,0.0
2023-11-15,250,29,10,68,0,0,0.0
2023-11-16,273,25,50,57,0,0,0.0
2023-11-17,247,29,30,74,0,0,0.0
2023-11-18,292,20,18,57,1,0,0.0
2023-11-19,336,33,34,64,1,0,0.0
2023-11-20,266,24,41,88,0,0,0.0
2023-11-21,245,30,1,89,0,0,0.0
2023-11-22,252,27,43,61,0,0,0.0
2023-11-23,272,35,15,94,0,0,0.0
2023-11-24,278,34,42,93,0,0,0.0
2023-11-25,287,35,39,94,1,0,0.0
2023-11-26,309,28,7,51,1,0,0.0
2023-11-27,290,29,2,69,0,0,0.0
2023-11-28,273,18,26,84,0,0,0.0
2023-11-29,268,29,47,82,0,0,0.0
2023-11-30,253,22,39,70,0,0,0.0
2023-12-01,262,32,0,86,0,0,0.0
2023-12-02,305,33,14,92,1,0,0.0
2023-12-03,292,30,49,69,1,0,0.0
2023-12-04,239,35,17,54,0,0,0.0
2023-12-05,270,32,26,52,0,0,0.0
2023-12-06,279,18,12,77,0,0,0.0
2023-12-07,272,28,47,91,0,0,0.0
2023-12-08,263,27,27,88,0,0,0.0
2023-12-09,316,30,42,87,1,0,0.0
2023-12-10,313,24,21,88,1,0,0.0
2023-12-11,254,24,13,79,0,0,0.0
2023-12-12,250,27,49,63,0,0,0.0
2023-12-13,245,27,35,74,0,0,0.0
2023-12-14,264,20,27,84,0,0,0.0
2023-12-15,260,21,34,73,0,0,0.0
2023-12-16,327,31,8,71,1,0,0.0
2023-12-17,319,22,31,76,1,0,0.0
2023-12-18,296,20,37,88,0,0,0.0
2023-12-19,266,29,36,56,0,0,0.0
2023-12-20,293,23,5,84,0,0,0.0
2023-12-21,248,28,31,67,0,0,0.0
2023-12-22,278,25,41,89,0,0,0.0
2023-12-23,313,29,33,61,1,0,0.0
2023-12-24,289,22,21,84,1,0,0.0
2023-12-25,408,22,47,57,0,1,0.0
2023-12-26,295,25,16,57,0,0,0.0
2023-12-27,275,19,24,61,0,0,0.0
2023-12-28,258,20,32,69,0,0,0.0
2023-12-29,281,20,17,93,0,0,0.0
2023-12-30,320,26,4,51,1,0,0.0
2023-12-31,303,23,21,79,1,0,0.0
2024-01-01,146,35,1,82,0,0,0.0
2024-01-02,159,18,29,61,0,0,0.0
2024-01-03,152,20,11,88,0,0,0.0
2024-01-04,118,18,32,56,0,0,0.0
2024-01-05,154,19,35,51,0,0,0.0
2024-01-06,177,32,1,50,1,0,0.0
2024-01-07,197,35,18,66,1,0,0.0
2024-01-08,154,25,21,79,0,0,0.0
2024-01-09,144,30,49,88,0,0,0.0
2024-01-10,144,34,1,59,0,0,0.0
2024-01-11,134,20,36,83,0,0,0.0
2024-01-12,133,35,46,63,0,0,0.0
2024-01-13,224,19,1,84,1,0,0.0
2024-01-14,310,34,35,86,1,0,0.0
2024-01-15,147,24,5,93,0,0,8.0
2024-01-16,113,29,18,62,0,0,0.0
2024-01-17,158,35,29,84,0,0,0.0
2024-01-18,167,28,21,87,0,0,0.0
2024-01-19,162,30,17,90,0,0,0.0
2024-01-20,212,29,3,52,1,0,0.0
2024-01-21,223,31,25,95,1,0,0.0
2024-01-22,128,26,3,66,0,0,0.0
2024-01-23,120,20,17,93,0,0,0.0
2024-01-24,194,33,36,57,0,0,0.0
2024-01-25,142,22,30,59,0,0,0.0
2024-01-26,147,23,43,79,0,1,0.0
2024-01-27,168,21,7,92,1,0,0.0
2024-01-28,202,20,9,71,1,0,0.0
2024-01-29,165,30,44,75,0,0,0.0
2024-01-30,142,30,14,95,0,0,0.0
2024-01-31,154,31,46,55,0,0,0.0
2024-02-01,174,26,35,72,0,0,0.0
2024-02-02,161,27,49,53,0,0,0.0
2024-02-03,163,27,34,90,1,0,0.0
2024-02-04,169,28,47,78,1,0,0.0
2024-02-05,156,25,38,50,0,0,0.0
2024-02-06,137,22,47,88,0,0,0.0
2024-02-07,191,25,2,62,0,0,0.0
2024-02-08,132,31,30,56,0,0,0.0
2024-02-09,102,28,39,95,0,0,0.0
2024-02-10,159,24,3,76,1,0,0.0
2024-02-11,188,30,2,87,1,0,0.0
2024-02-12,158,22,22,58,0,0,0.0
2024-02-13,156,25,49,78,0,0,0.0
2024-02-14,153,30,26,91,0,0,0.0
2024-02-15,128,20,4,62,0,0,0.0
2024-02-16,130,26,2,56,0,0,0.0
2024-02-17,204,22,37,84,1,0,0.0
2024-02-18,171,35,31,78,1,0,0.0
2024-02-19,168,31,19,88,0,0,0.0
2024-02-20,116,21,7,53,0,0,0.0
2024-02-21,167,19,50,51,0,0,0.0
2024-02-22,155,19,20,64,0,0,0.0
2024-02-23,163,28,20,84,0,0,0.0
2024-02-24,178,32,28,59,1,0,0.0
2024-02-25,210,28,8,81,1,0,0.0
2024-02-26,144,32,7,72,0,0,0.0
2024-02-27,154,18,31,80,0,0,0.0
2024-02-28,163,18,6,63,0,0,0.0
2024-02-29,133,32,15,74,0,0,0.0
2024-03-01,179,29,12,69,0,0,0.0
2024-03-02,219,30,14,87,1,0,0.0
2024-03-03,214,31,12,90,1,0,0.0
2024-03-04,121,20,24,89,0,0,0.0
2024-03-05,150,24,32,54,0,0,0.0
2024-03-06,141,30,23,61,0,0,0.0
2024-03-07,160,27,28,95,0,0,0.0
2024-03-08,129,22,15,78,0,0,0.0
2024-03-09,158,23,34,56,1,0,0.0
2024-03-10,187,22,3,77,1,0,0.0
2024-03-11,172,33,32,93,0,0,0.0
2024-03-12,127,22,47,55,0,0,0.0
2024-03-13,157,27,0,72,0,0,0.0
2024-03-14,132,18,25,58,0,0,0.0
2024-03-15,171,30,48,58,0,0,0.0
2024-03-16,199,26,33,78,1,0,0.0
2024-03-17,212,33,39,60,1,0,0.0
2024-03-18,147,20,46,92,0,0,0.0
2024-03-19,130,31,47,64,0,0,0.0
2024-03-20,152,29,3,59,0,0,0.0
2024-03-21,155,20,15,71,0,0,0.0
2024-03-22,133,26,1,76,0,0,0.0
2024-03-23,184,35,15,85,1,0,0.0
2024-03-24,189,24,5,50,1,0,0.0
2024-03-25,139,21,9,69,0,1,0.0
2024-03-26,120,22,7,61,0,0,0.0
2024-03-27,144,35,36,68,0,0,0.0
2024-03-28,141,28,18,87,0,0,0.0
2024-03-29,165,19,44,70,0,0,0.0
2024-03-30,184,30,14,63,1,0,0.0
2024-03-31,223,22,10,69,1,0,0.0
2024-04-01,193,19,28,51,0,0,0.0
2024-04-02,195,19,5,86,0,0,0.0
2024-04-03,234,33,38,65,0,0,0.0
2024-04-04,251,27,46,66,0,0,0.0
2024-04-05,224,22,5,88,0,0,0.0
2024-04-06,281,33,38,61,1,0,0.0
2024-04-07,286,33,9,54,1,0,0.0
2024-04-08,256,23,39,87,0,0,0.0
2024-04-09,190,24,14,75,0,0,0.0
2024-04-10,219,22,49,84,0,0,0.0
2024-04-11,251,22,32,92,0,0,0.0
2024-04-12,218,33,0,53,0,0,0.0
2024-04-13,277,27,33,71,1,0,0.0
2024-04-14,405,30,13,71,1,0,10.0
2024-04-15,185,30,17,75,0,0,10.0
2024-04-16,203,20,39,68,0,0,0.0
2024-04-17,238,28,33,90,0,0,0.0
2024-04-18,223,26,29,56,0,0,0.0
2024-04-19,221,30,43,54,0,0,0.0
2024-04-20,288,26,41,57,1,0,0.0
2024-04-21,267,19,2,74,1,0,0.0
2024-04-22,200,26,27,56,0,0,0.0
2024-04-23,219,33,47,85,0,0,0.0
2024-04-24,250,33,48,84,0,0,0.0
2024-04-25,199,34,40,84,0,0,0.0
2024-04-26,232,22,25,54,0,0,0.0
2024-04-27,262,35,38,57,1,0,0.0
2024-04-28,287,31,13,90,1,0,0.0
2024-04-29,255,34,1,72,0,0,0.0
2024-04-30,215,35,33,82,0,0,0.0
2024-05-01,241,22,43,52,0,0,0.0
2024-05-02,238,22,26,69,0,0,0.0
2024-05-03,203,21,19,74,0,0,0.0
2024-05-04,248,33,44,57,1,0,0.0
2024-05-05,269,27,6,68,1,0,0.0
2024-05-06,224,35,35,92,0,0,0.0
2024-05-07,222,22,30,71,0,0,0.0
2024-05-08,234,27,28,50,0,0,0.0
2024-05-09,238,22,48,73,0,0,0.0
2024-05-10,196,29,49,65,0,0,0.0
2024-05-11,264,35,4,81,1,0,0.0
2024-05-12,260,25,3,60,1,0,0.0
2024-05-13,235,23,7,86,0,0,0.0
2024-05-14,201,19,20,92,0,0,0.0
2024-05-15,253,20,47,80,0,0,0.0
2024-05-16,236,25,7,85,0,0,0.0
2024-05-17,262,32,45,82,0,0,0.0
2024-05-18,286,31,34,53,1,0,0.0
2024-05-19,249,20,48,90,1,0,0.0
2024-05-20,253,29,19,70,0,0,0.0
2024-05-21,207,22,10,60,0,0,0.0
2024-05-22,224,21,24,82,0,0,0.0
2024-05-23,242,27,32,53,0,0,0.0
2024-05-24,241,34,4,59,0,0,0.0
2024-05-25,292,29,23,89,1,0,0.0
2024-05-26,247,30,30,53,1,0,0.0
2024-05-27,213,24,14,58,0,0,0.0
2024-05-28,243,30,45,84,0,0,0.0
2024-05-29,251,30,1,64,0,0,0.0
2024-05-30,215,31,34,90,0,0,0.0
2024-05-31,196,22,43,68,0,0,0.0
2024-06-01,179,20,9,66,1,0,0.0
2024-06-02,172,21,18,64,1,0,0.0
2024-06-03,125,21,42,92,0,0,0.0
2024-06-04,117,31,39,77,0,0,0.0
2024-06-05,126,29,45,83,0,0,0.0
2024-06-06,144,22,50,77,0,0,0.0
2024-06-07,128,31,36,94,0,0,0.0
2024-06-08,156,21,4,64,1,0,0.0
2024-06-09,200,25,16,70,1,0,0.0
2024-06-10,151,23,33,90,0,0,0.0
2024-06-11,116,18,41,80,0,0,0.0
2024-06-12,99,29,21,61,0,0,0.0
2024-06-13,129,24,44,91,0,0,0.0
2024-06-14,137,19,36,75,0,0,0.0
2024-06-15,188,27,27,71,1,0,0.0
2024-06-16,209,29,2,55,1,0,0.0
2024-06-17,153,21,41,50,0,0,0.0
2024-06-18,134,30,0,50,0,0,0.0
2024-06-19,133,33,29,73,0,0,0.0
2024-06-20,139,29,26,61,0,0,0.0
2024-06-21,134,30,48,82,0,0,0.0
2024-06-22,231,18,12,87,1,0,9.0
2024-06-23,166,19,11,60,1,0,0.0
2024-06-24,145,31,6,70,0,0,0.0
2024-06-25,151,24,9,71,0,0,0.0
2024-06-26,130,26,17,81,0,0,0.0
2024-06-27,124,28,13,67,0,0,0.0
2024-06-28,137,23,37,52,0,0,0.0
2024-06-29,209,32,48,94,1,0,0.0
2024-06-30,157,20,50,81,1,0,0.0
2024-07-01,157,26,30,52,0,0,0.0
2024-07-02,130,23,5,58,0,0,0.0
2024-07-03,120,32,8,64,0,0,0.0
2024-07-04,135,19,45,66,0,0,0.0
2024-07-05,105,29,7,73,0,0,0.0
2024-07-06,205,20,6,63,1,0,0.0
2024-07-07,149,21,19,72,1,0,0.0
2024-07-08,143,32,16,80,0,0,0.0
2024-07-09,131,29,32,77,0,0,0.0
2024-07-10,134,28,12,74,0,0,0.0
2024-07-11,139,34,19,51,0,0,0.0
2024-07-12,159,32,29,67,0,0,0.0
2024-07-13,181,18,1,80,1,0,0.0
2024-07-14,178,25,24,84,1,0,0.0
2024-07-15,147,27,38,93,0,0,0.0
2024-07-16,128,29,7,91,0,0,0.0
2024-07-17,107,33,0,72,0,0,0.0
2024-07-18,113,28,6,77,0,0,0.0
2024-07-19,177,27,29,77,0,0,0.0
2024-07-20,161,33,8,92,1,0,0.0
2024-07-21,139,22,2,52,1,0,0.0
2024-07-22,113,24,3,72,0,0,0.0
2024-07-23,123,29,7,79,0,0,0.0
2024-07-24,156,30,46,64,0,0,0.0
2024-07-25,140,26,27,81,0,0,0.0
2024-07-26,146,34,21,89,0,0,0.0
2024-07-27,151,19,39,52,1,0,0.0
2024-07-28,192,25,10,68,1,0,0.0
2024-07-29,128,26,40,52,0,0,0.0
2024-07-30,130,18,47,82,0,0,0.0
2024-07-31,107,19,26,60,0,0,0.0
2024-08-01,102,28,6,91,0,0,0.0
2024-08-02,139,34,0,53,0,0,0.0
2024-08-03,183,34,5,86,1,0,0.0
2024-08-04,164,32,29,64,1,0,0.0
2024-08-05,121,35,45,92,0,0,0.0
2024-08-06,125,33,30,62,0,0,0.0
2024-08-07,155,30,18,57,0,0,0.0
2024-08-08,163,21,18,57,0,0,0.0
2024-08-09,110,30,15,54,0,0,0.0
2024-08-10,166,35,13,79,1,0,0.0
2024-08-11,161,23,35,53,1,0,0.0
2024-08-12,188,22,50,83,0,0,0.0
2024-08-13,108,31,13,69,0,0,0.0
2024-08-14,131,33,47,73,0,0,0.0
2024-08-15,231,22,26,71,0,1,0.0
2024-08-16,129,31,12,57,0,0,0.0
2024-08-17,200,19,4,55,1,0,0.0
2024-08-18,147,19,29,81,1,0,0.0
2024-08-19,96,33,45,54,0,0,0.0
2024-08-20,125,28,22,90,0,0,0.0
2024-08-21,128,21,41,70,0,0,0.0
2024-08-22,127,18,16,73,0,0,0.0
2024-08-23,124,26,24,79,0,0,0.0
2024-08-24,147,33,37,52,1,0,0.0
2024-08-25,183,34,24,95,1,0,0.0
2024-08-26,107,18,47,73,0,0,0.0
2024-08-27,135,30,3,65,0,0,0.0
